,0,1,2,3,4
10,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/22,,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/26,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/24,
11,,,1ST AVE BETWEEN BELL ST AND BATTERY ST 2022/03/28,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/24,
12,,,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/21,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/26,
13,,,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/25,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/24,
14,,,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/26,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/26,
15,,,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST 2022/03/28,,
16,,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/21,,
17,,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/25,,
18,,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/26,,
19,,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/28,,
20,,,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/21,,
21,,,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/25,,
22,,,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/26,,
23,,,7TH AVE BETWEEN OLIVE WAY AND STEWART ST 2022/03/28,,
24,,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/21,,
25,,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/25,,
26,,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/26,,
27,,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST 2022/03/28,,
28,,,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/21,,
29,,,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/25,,
30,,,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/26,,
31,,,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST 2022/03/28,,
32,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/21,,
33,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/25,,
34,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/26,,
35,,,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST 2022/03/28,,
36,,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/21,,
37,,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/23,,
38,,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/25,,
39,,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/26,,
40,,,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST 2022/03/28,,
41,,,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/23,,
42,,,MINOR AVE BETWEEN HOWELL ST AND STEWART ST 2022/03/25,,
43,,,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/23,,
44,,,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N 2022/03/25,,
